week,day,exercise_id,set,reps,weight_kg,rpe,done,session_date
1,lower,hang-power-shrug,1,6,40,,1,
1,lower,hang-power-shrug,2,5,50,,1,
1,lower,hang-power-shrug,3,4,55,,1,
1,lower,back-squat,1,5,90,,1,
1,lower,db-jumps,1,6,14,,1,
1,lower,back-squat,2,4,90,,1,
1,lower,db-jumps,2,6,12,,1,
1,lower,back-squat,3,3,100,,1,
1,lower,db-jumps,3,6,12,,1,
1,lower,rdl,1,7,70,,1,
1,lower,kb-swings,1,5,12,,1,
1,lower,rdl,2,6,75,,1,
1,lower,kb-swings,2,5,12,,1,
1,lower,rdl,3,6,80,,1,
1,lower,kb-swings,3,5,12,,1,
1,lower,copenhagen-bridge,1,,,,1,
1,lower,curtsy-stepdown,1,,,,1,
1,lower,sb-leg-curl,1,,,,1,
1,lower,copenhagen-bridge,2,,,,1,
1,lower,curtsy-stepdown,2,,,,1,
1,lower,sb-leg-curl,2,,,,1,
